"The following cache types have been successfully cleaned: %1","The following cache types have been successfully cleaned: %1"
"There are no invalidated cache types to be cleaned.","There are no invalidated cache types to be cleaned."
"Refresh Invalidated Cache","Refresh Invalidated Cache"
"Additionally you can %1 directly.","Additionally you can %1 directly."
"Flush Invalidaded Cache","Flush Invalided Cache"
"Following cache types were automatically cleared: ","Following cache types were automatically cleared: "
"Set cronjob for clearing invalidated cache types","Set cronjob for clearing invalidated cache types"
"Set time for cronjob (for example: * * * * *   to run every minute)","Set time for cronjob (for example: * * * * *   to run every minute)"
"Configure Cronjob","Configure Cronjob"
"Enable Cronjob","Enable Cronjob"
