"The following cache types have been successfully cleaned: %1","Os seguintes caches foram limpos com sucesso: %1"
"There are no invalidated cache types to be cleaned.","Não há caches inválidos a serem limpos."
"Refresh Invalidated Cache","Atualizar Caches Inválidos"
"Flush Invalided Cache","Limpar Caches Inválidos"
Recommended,Recommended
"Refresh Invalidated Cache","Refresh Invalidated Cache"
"Selective Cache","Selective Cache"
"Configure Cronjob","Configure Cronjob"
"Enable Cronjob","Enable Cronjob"
"Set cronjob for clearing invalidated cache types","Set cronjob for clearing invalidated cache types"
"Set time for cronjob (for example: * * * * * to run every minute)","Set time for cronjob (for example: * * * * * to run every minute)"
